Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM000010	16337	SK5740		52.95435674	-1.153011124	Nottingham	Commercial Square, St Ann's Well Road	Commercial Square, St Ann's Well Road	The architect of the bank was Watson Fothergill.	1959	15_The_1950s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street shops commercial bank oriel windows gables clock brick	Buildings_and_Structures Shops_Banks_and_Commercial
NTGM000070	31794	SK5740		52.95435674	-1.153011124	Nottingham	Saxon Place, Alfred Street North	Saxon Place, Alfred Street North	From Belgrave Square	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	houses terraced street cobbles brick chimneys derelict	Buildings_and_Structures Housing
NTGM000072	33007	SK5740		52.95435674	-1.153011124	Nottingham	Colwick Street	Colwick Street	Junction with Drake Street Charles Street showing Red Street and flaming Sword Public House	24 July 1913	11_The_1910s	not known				Yes	Nottingham Historical film unit	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	slums terrace brick street cobbles people man woman children pub windows lamppost	Buildings_and_Structures Housing People_and_Society Welfare_and_Poverty
NTGM000073	90711	SK5740		52.95435674	-1.153011124	Nottingham	Colwick Street	Colwick Street	&amp;lt;p&amp;gt;This is Lennox Street from the junction with Coalpit Lane, looking towards Meynell Street, with Washington Street in the distance.&amp;lt;/p&amp;gt;	c 1910 ?	10_Edwardian_(1901-1910)	not known				Yes	Nottingham Historical film unit	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street houses slum terrace brick windows clothes washing children	Buildings_and_Structures Housing People_and_Society Welfare_and_Poverty
NTGM000082	76852	SK5740		52.95435674	-1.153011124	Nottingham	Clinton Street West	Clinton Street West	On the left is Lincoln Street, rear of photograph is Parliament Street.	1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	shops commercial shoppers people activity urban	Buildings_and_Structures Shops_Banks_and_Commercial
NTGM000100	36032	SK5740		52.95710872	-1.148580909	Nottingham	Charlotte Street - Milton Street	Corner of Charlotte Street and Milton Street, Nottingham, pre 1900	The photograph was taken prior to demolition work carried out to make way for the Grand Central Railway Station (otherwise known as Victoria Station) which opened in May 1901.	pre 1900		not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	houses shops commercial bicycle horse and cart people activity awnings lamp	Buildings_and_Structures Shops_Banks_and_Commercial Natural_World_Landscape_and_Views Streetscene
NTGM000117	18190	SK5740		52.95435674	-1.153011124	Nottingham	Cur Lane	Cur Lane from Cross Street	Health Department - out of copyright	1919	11_The_1910s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	lane narrow tenements people cobbles red brick urban poverty welfare	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000141	Misc.129	SK5740		52.95435674	-1.153011124	Nottingham	Coalpit Lane	Coalpit Lane from the corner of Beck Street	 	27 November 1927	12_The_1920s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cobbled street red brick houses posters advertisement signs houses run-down area small boy lamp	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000143	38248	SK5740		52.95435674	-1.153011124	Nottingham	Colwick Street	Colwick Street after development	 	20th century		not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	red brick terraced houses flats Georgian-style half hipped roof road	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000144	8401	SK5740		52.95435674	-1.153011124	Nottingham	Colwick Street	Colwick Street Slum Clearance	Looking north from near Red Street.	c 1935	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	aerial view tenements slum demolition work run-down area shops advertisement posters factory chimneys poverty	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene Aerial_View
